series,episode,baker,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result
1,1,Annetha,NA,NA,NA,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2,IN
1,1,David,NA,NA,NA,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3,IN
1,1,Edd,NA,NA,NA,Caramel Cinnamon and Banana Cake,N/A,1,IN
1,1,Jasminder,NA,NA,NA,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,NA,IN
1,1,Jonathan,NA,NA,NA,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,9,IN
1,1,Lea,NA,NA,NA,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,10,OUT
1,1,Louise,NA,NA,NA,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,IN
1,1,Mark,NA,NA,NA,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,OUT
1,1,Miranda,NA,NA,NA,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,8,IN
1,1,Ruth,NA,NA,NA,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,NA,IN
1,2,Annetha,NA,NA,NA,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,7,OUT
1,2,David,NA,NA,NA,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,8,IN
1,2,Edd,NA,NA,NA,Oatmeal Raisin Cookie,Pink Macarons,6,IN
1,2,Jasminder,NA,NA,NA,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,2,IN
1,2,Jonathan,NA,NA,NA,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,1,IN
1,2,Louise,NA,NA,NA,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",4,OUT
1,2,Miranda,NA,NA,NA,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,3,IN
1,2,Ruth,NA,NA,NA,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,5,IN
1,3,David,NA,NA,NA,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",4,IN
1,3,Edd,NA,NA,NA,Olive Bread,Tomato and Mozzarella,1,IN
1,3,Jasminder,NA,NA,NA,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",5,IN
1,3,Jonathan,NA,NA,NA,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",6,OUT
1,3,Miranda,NA,NA,NA,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",3,IN
1,3,Ruth,NA,NA,NA,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",2,IN
1,4,David,NA,NA,NA,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",5,OUT
1,4,Edd,NA,NA,NA,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",3,IN
1,4,Jasminder,NA,NA,NA,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",2,IN
1,4,Miranda,NA,NA,NA,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",1,IN
